depth,expected_energy,model_version,parameter_index,restart,round,seed,stage,step,value
2,-0.21184101386213916,base,,6,,11,restart,,-0.08825802116954444
2,-0.21184101386213916,base,,7,,11,restart,,0.343505580411268
2,-0.21184101386213916,base,,8,,11,restart,,0.7663755129616249
2,-0.21184101386213916,base,,9,,11,restart,,-0.06641765828631815
2,-0.21184101386213916,base,,10,,11,restart,,0.07673584550438309
2,-0.21184101386213916,base,,11,,11,restart,,1.0906514294315366
2,-0.21184101386213916,base,0,,0,11,coordinate_descent,0.6,-0.1433761228114288
2,-0.21184101386213916,base,0,,0,11,coordinate_descent,0.6,-0.10648462037936335
2,-0.21184101386213916,base,1,,0,11,coordinate_descent,0.6,-0.15836813342835362
2,-0.21184101386213916,base,1,,0,11,coordinate_descent,0.6,-0.1433761228114288
2,-0.21184101386213916,base,2,,0,11,coordinate_descent,0.6,1.3966791483787355
2,-0.21184101386213916,base,2,,0,11,coordinate_descent,0.6,0.9481497223870023
2,-0.21184101386213916,base,3,,0,11,coordinate_descent,0.6,0.4905394236988357
2,-0.21184101386213916,base,3,,0,11,coordinate_descent,0.6,0.7578137475331119
2,-0.21184101386213916,base,0,,1,11,coordinate_descent,0.3,-0.14846659075961738
2,-0.21184101386213916,base,0,,1,11,coordinate_descent,0.3,-0.1592545032771654
2,-0.21184101386213916,base,1,,1,11,coordinate_descent,0.3,-0.16698787037341284
2,-0.21184101386213916,base,1,,1,11,coordinate_descent,0.3,-0.1592545032771654
2,-0.21184101386213916,base,2,,1,11,coordinate_descent,0.3,0.4778803717804186
2,-0.21184101386213916,base,2,,1,11,coordinate_descent,0.3,0.5383989249203114
2,-0.21184101386213916,base,3,,1,11,coordinate_descent,0.3,-0.06443979266708647
2,-0.21184101386213916,base,3,,1,11,coordinate_descent,0.3,0.2609306491805151
2,-0.21184101386213916,base,0,,2,11,coordinate_descent,0.15,-0.16535279585976995
2,-0.21184101386213916,base,0,,2,11,coordinate_descent,0.15,-0.16584556808760875
2,-0.21184101386213916,base,1,,2,11,coordinate_descent,0.15,-0.16971804163628
2,-0.21184101386213916,base,1,,2,11,coordinate_descent,0.15,-0.16698787037341284
2,-0.21184101386213916,base,2,,2,11,coordinate_descent,0.15,-0.07537820385438421
2,-0.21184101386213916,base,2,,2,11,coordinate_descent,0.15,0.13192711693651038
2,-0.21184101386213916,base,3,,2,11,coordinate_descent,0.15,-0.19509660579964616
2,-0.21184101386213916,base,3,,2,11,coordinate_descent,0.15,-0.16971804163628
2,-0.21184101386213916,base,0,,3,11,coordinate_descent,0.075,-0.1960727157462413
2,-0.21184101386213916,base,0,,3,11,coordinate_descent,0.075,-0.19509660579964616
